time_s,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
55,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000029,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5499999999994536,2.5499999967165903,2.5499966748957403,2.549377900790776,2.5262363838749011,2.32125526811094
56,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000025,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5499999999991414,2.5499999956205972,2.5499960504429353,2.5493206107012338,2.5253949081700569,2.3192931290282268
57,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000016,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5499999999986809,2.549999994215113,2.5499953351685032,2.5492600842222832,2.5245480397183253,2.3173502664187686
58,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000029,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.549999999998005,2.5499999924285355,2.5499945198601637,2.5491962717805254,2.5236960832396034,2.315426173213893
59,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000025,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.549999999997032,2.5499999901764272,2.5499935948274199,2.5491291278127926,2.5228393294402753,2.3135203641300777
60,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000016,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5499999999956442,2.5499999873599024,2.5499925499125577,2.5490586106667656,2.5219780556839013,2.3116323743813481
61,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000029,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999972,2.5499999999936902,2.5499999838639531,2.5499913745035707,2.5489846824939786,2.5211125266315819,2.309761775801694
62,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000025,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5499999999909684,2.5499999795556718,2.5499900575487193,2.5489073091367938,2.520242994852715,2.3079081380699873
63,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000016,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5499999999872207,2.5499999742823856,2.5499885875726283,2.5488264600106083,2.5193697014069341,2.3060710460348806
64,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000029,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5499999999821057,2.5499999678697431,2.5499869526937093,2.5487421079826027,2.5184928763982115,2.3042501040266972
