x,y,worst_lower,worst_upper,normal_lower,no_signal_upper,worst_theta,safe_margin,calls,interval_splits,angle_bound_complete
405,50,372.2700364591673,1500,372.2700364591673,0,6.196259972333107,401.340157044878,63,0,0
430,0,532.6109432689337,1500,532.6109432689337,0,0.007013039668139293,429.8851149412923,175,0,0
430,1,532.6159570438497,1500,532.6159570438497,0,6.275238069563486,429.8536267076864,175,0,0
430,2,532.6219027634072,1500,532.6219027634072,0,6.274303915958341,429.8203863770184,175,0,0
430,5,532.6453308735365,1500,532.6453308735365,0,6.27150173746827,429.7101559471041,91,0,0
430,10,520.7109835997844,1500,520.7109835997844,0,6.231925893564076,429.4914283779347,91,0,0
430,15,494.0057237012001,1500,494.0057237012001,0,6.227258108865938,429.2289825520028,63,0,0
430,20,469.9244145886369,1500,469.9244145886369,0,6.222592000936185,428.9228787431641,63,0,0
430,25,448.1000408070252,1500,448.1000408070252,0,6.217927771939465,428.5731871119735,63,0,0
430,30,428.2309831015237,1500,428.2309831015237,0,6.213265623550663,428.1799876257036,63,0,0
430,40,393.3990745533662,1500,393.3990745533662,0,6.20394837253663,427.2634334351559,63,0,0
430,50,363.8720732713721,1500,363.8720732713721,0,6.194641849535613,426.1740483306529,63,0,0
455,0,520.1109417722411,1500,520.1109417722411,0,6.275587062621919,454.8728612445681,175,0,0
455,1,520.1164065842518,1500,520.1164065842518,0,6.274630539349848,454.8399297265449,175,0,0
455,2,520.1228255453194,1500,520.1228255453194,0,6.273674063677589,454.8051659879442,175,0,0
455,5,520.1478065560351,1500,520.1478065560351,0,6.270804939720641,454.6898850451637,91,0,0
455,10,510.8623671651832,1500,510.8623671651832,0,6.231117596298593,454.4611420472145,91,0,0
455,15,484.3070753072298,1500,484.3070753072298,0,6.226338420282812,454.1866897914613,63,0,0
455,20,460.3950558232691,1500,460.3950558232691,0,6.221561044047378,453.8665971896836,63,0,0
455,25,438.7520176792703,1500,438.7520176792703,0,6.216785684513953,453.500944438558,63,0,0
455,30,419.0711500955658,1500,419.0711500955658,0,6.212012558053218,453.0898229197769,63,0,0
455,40,384.6223850577728,1500,384.6223850577728,0,6.202473866728258,452.1315943379591,63,0,0
455,50,355.4734454329833,1500,355.4734454329833,0,6.192946687813614,450.99286156607,63,0,0
480,0,507.6110685268648,1500,507.6110685268648,0,0.008212123936520536,479.8594299135431,175,0,0
480,1,507.6170135232525,1500,507.6170135232525,0,6.273993242217347,479.8249165302716,175,0,0
480,2,507.6239359551442,1500,507.6239359551442,0,6.273013352375298,479.7884831382397,175,0,0
480,5,507.6505670424439,1500,507.6505670424439,0,6.270074008723959,479.6676670489934,91,0,0
480,10,500.9696979758958,1500,500.9696979758958,0,6.230269716387928,479.4279485233481,91,0,0
480,15,474.5709175807875,1500,474.5709175807875,0,6.225373710506819,479.1403405494117,63,0,0
480,20,450.8345891096739,1500,450.8345891096739,0,6.220479639743887,478.804922406825,63,0,0
480,25,429.3789840562682,1500,429.3789840562682,0,6.215587737246813,478.4217863333165,63,0,0
480,30,409.8920175729049,1500,409.8920175729049,0,6.210698235541666,477.9910373986847,63,0,0
480,40,375.8365499872965,1500,375.8365499872965,0,6.200927361109715,476.9871845118448,63,0,0
480,50,347.0741760839134,1500,347.0741760839134,0,6.191168861740609,475.794455109837,63,0,0
505,0,495.1113486659525,1500,495.1113486659525,0,0.008856837770892866,499.9992308611314,175,0,0
505,1,495.1178051824461,1500,495.1178051824461,0,6.273323936065621,499.9980563402532,175,0,0
505,2,495.125263583942,1500,495.125263583942,0,6.272319457858974,499.9948818386066,175,0,0
505,5,495.153649217916,1500,495.153649217916,0,6.269306374276903,499.9733589499634,91,0,0
505,10,491.0310307184755,1500,491.0310307184755,0,6.229379274599441,499.89749612694,91,0,0
505,15,464.7956896458001,1500,464.7956896458001,0,6.224360592667765,499.7716651363841,63,0,0
